-20	0
-19	0.0065278278
-18	-0.010636971
-17	-0.0282771417
-16	-0.0083573057
-15	-0.0128328725
-14	-0.0232777293
-13	-0.0388083177
-12	-0.0716953102
-11	-0.0050055671
-10	-0.0074420381
-9	-0.0087685533
-8	-0.005789813
-7	-0.0049836936
-6	-0.0045307876
-5	-0.0042038429
-4	-0.002448661
-3	0.001855982
-2	0.0039933526
-1	0.0017581411
0	0.0059233124
1	0.0080735985
2	0.0027901954
3	0.0007817595
4	-0.0028345326
5	-0.0030015697
6	-0.0034162911
7	-0.0065716821
8	-0.0059557496
9	-0.0064671154
10	-0.0065835717
11	-0.007579579
12	-0.0566135408
13	-0.039379207
14	-0.0221748497
15	-0.0116554198
16	-0.0226945819
17	-0.0441873032
18	-0.0021804983
19	-0.0054772493
20	0
