-20	0.2585458899
-19	0.2420335429
-18	0.2270961061
-17	0.2089631897
-16	0.1947376284
-15	0.1743533126
-14	0.1572908929
-13	0.1351702652
-12	0.0444599667
-11	0.0335411546
-10	0.0312516452
-9	0.0258368968
-8	0.0171678858
-7	0.0154583797
-6	0.0030910171
-5	0.0097966182
-4	0.0076575356
-3	0.0086238118
-2	0.0077133311
-1	0.0065871965
0	0.0111669569
1	0.017441321
2	0.0209793464
3	0.0219878627
4	0.0276492658
5	0.0204881307
6	0.0417710159
7	0.0423623183
8	0.0474386843
9	0.0526975246
10	0.0604880907
11	0.0697012685
12	0.0813314937
13	0.1656436491
14	0.1857509457
15	0.2030693733
16	0.2206724676
17	0.2350736149
18	0.2537618115
19	0.2616940642
20	0.2810908904
