0.02	0.00618	0.0060130261	0.005893004	0.0057569586	0.0057116597	0.0055221857	0.0050446238	0.0052501299 0.0048552547 0.0044017672 0.0037561657 0.0012618487 0.0006402953 -0.000728297 -0.0013898868 -0.0026117428 -0.0029958833 0.0004268344 0.0001254244 0.0009950641 0.000550
0.06	0.59734	0.5407499	0.4849384662	0.4367087722	0.5966520015	0.5050931669	0.3794300973	0.2285677556 0.0529409398 -0.1646171747		    -0.4396139527	      -0.7144212829		 -1.0153349914 -1.3057218831 -1.6227592822	       -2.2427431857 -2.6117318541 -0.6046311775 -0.5553183391 -0.5595493655 -0.567707
0.12	0.36520	0.3065372792	0.2512860591	0.2070019085	0.3389901053	0.2493333449	0.1396499045	0.0176335995 -0.1186496034			    -0.278232784	      -0.4736753715		 -0.6587138916 -0.8558185528 -1.0423456698	       -1.25922083   -1.2952804192 -1.3817119345 -0.6076297445 -0.5512047122 -0.5510660356 -0.557837
0.2	0.17790	0.125428288	0.0769237757	0.0409068105	0.1525803966	0.0768063849	-0.0120794021	-0.1073918323					    -0.2125107371	      -0.3336733382		 -0.48024334   -0.6152140803 -0.7558162938	       -0.8958504086 -0.9624660648 -1.0472730077 -1.0683479532 -0.6360250123 -0.5769055681 -0.5763933632 -0.584482
0.3	0.10903	0.0679415195	0.0314257678	0.007691027	0.1064954345	0.0495742645	-0.0162624459	-0.0841879771					    -0.1595804532	      -0.2473084951		 -0.354734979  -0.4485961564 -0.5509192818	       -0.6680029427 -0.6604612745 -0.7244012781 -0.7427337941 -0.55235188   -0.490327299  -0.4901485684 -0.501148
0.4	-0.04648		-0.0806746265	-0.1094059736	-0.1241824189	-0.0215125233	-0.0663409341	-0.1180227089					    -0.1698804956	      -0.2287038185		 -0.2996758642 -0.3880601897 -0.4681585007	       -0.5605337736 -0.5639243922 -0.6256208138 -0.6627608726 -0.6663115934 -0.6589753264 -0.589049046	 -0.5887901987 -0.600792
0.5	-0.08512		-0.1104810407	-0.1308650858	-0.1365740531	-0.025786235	-0.0580496308	-0.0958112429					    -0.1326925155	      -0.1758429603		 -0.232892116  -0.3060384053 -0.3754017796	       -0.4633486497 -0.4337316134 -0.479448336	 -0.4980743508 -0.4913196881 -0.6347257495 -0.5654343185 -0.5647914356 -0.577701
0.6	-0.15821		-0.1753253357	-0.187839632	-0.1841768702	-0.0588552559	-0.0793834061	-0.1038730794					    -0.1274317209	      -0.1564539007		 -0.202573462  -0.2673003399 -0.3359275237	       -0.3467612227 -0.3672599488 -0.3914268913 -0.3962901184 -0.3831009188 -0.6430224115 -0.5847699758 -0.5831666368 -0.595358
0.75	-0.24358		-0.2498695192	-0.2505337315	-0.2334736853	-0.071209511	-0.0728075002	-0.0783749936					    -0.0829368018	      -0.0943866956		 -0.1363899727 -0.2022720344 -0.2255265734	       -0.2314968706 -0.24892784   -0.2519637073 -0.2436056968 -0.2353170859 -0.6117619734 -0.5853195334 -0.5835988385 -0.594929
0.9	-0.25662		-0.2504377576	-0.2399135283	-0.2074820667	0.0286700161	0.05434949	0.0717776795					    0.0803491334	      0.0625447319		 0.0110950726  -0.0251753026 0.0263117532	       -0.0211843727 -0.0143656429 -0.0016700111 0.0040096107  -0.0188234437 -0.4295805638 -0.4457656116 -0.4517520633 -0.464602
																				    			      				 	       		     			       		     		   		 	       		     		   		 	       
0.01																																															       -0.57143 -0.5705483943 -0.5852288656 -0.6447750831 -3.251336889 -3.0334666997 -2.3309780825 -1.6387576271 -1.0119763233 -0.4116802059 0.1152322443 0.4687560846 0.7004637237 0.803411121 0.8178461634 0.8041181584 0.7453508255 0.8193694994 0.822415979 0.8190920151 0.810651
0.04																																															       -0.59564	-0.5865387057 -0.5906976752 -0.6352513203 -3.0994340969		     -2.3048611007 -1.9037237261 -1.565664679  -1.2137548163 -0.8324439568	       -0.4534566736		-0.1454655541		  0.1217014678 0.3231465127 0.4819586413	     0.6016726646 0.6858259987 0.5351530086 0.577713868 0.6274482086 0.673592
