-20	-0.58883332
-19	-0.5949187613
-18	-0.6016695557
-17	-0.5992864821
-16	-0.6065582787
-15	-0.6127478864
-14	-0.6320997982
-13	-0.6763689536
-12	-0.7695434416
-11	-0.7323442574
-10	-0.6847037102
-9	-0.6374642483
-8	-0.5833443301
-7	-0.5284954131
-6	-0.4664809339
-5	-0.4097888461
-4	-0.3489935448
-3	-0.2682559419
-2	-0.1797639497
-1	-0.0919071836
0	-0.0067914102
1	0.0878936346
2	0.1729846676
3	0.2603246645
4	0.3378556124
5	0.405450329
6	0.4672175231
7	0.520252893
8	0.5745014034
9	0.6254171558
10	0.6726237249
11	0.7197701627
12	0.7560209561
13	0.6379259975
14	0.6118596458
15	0.6039058568
16	0.5951725741
17	0.5897298261
18	0.5871276173
19	0.5775011809
20	0.5781601063
